"Group","GID","DMC","DRY","PLTHT","BRNHT1","logFYLD","CGMS1","CGMS2","MCMDS","DMCsg","IVig1-7","StC","HI","logDRYsgLD","logTOPYLD"
"nrTP","AR124",-0.0644821282523493,-0.238831034564185,0.381076971905019,9.55367556854902,0.0170869625909086,-0.226141664250908,-0.0802284886910035,-0.0641778089855345,0.106708987565201,0.0095684594170871,-0.361251292368446,-0.00197666708690991,-0.0306905576400469,0.0276400424655592
"nrTP","AR1410",0.170441540274416,-0.0148595012592731,-5.84456821564726,7.39320333005434,0.00862880753391307,-0.0438040103605277,-0.00479652479645095,-0.0672150476105818,0.258764124813439,-0.0934094970341308,0.341215178364928,-0.00750587149602607,-0.0706317864714291,-0.0821532166052485
"nrTP","AR144",-0.595921830494214,0.286125507838369,1.43774935062437,-4.89850287442405,-0.0110294832497558,0.00838117044548754,0.0254305279012383,-0.0068401470688132,-0.292933193531648,0.0902842720331915,-0.589301818519135,-4.82911793882741e-05,-0.0206103392483615,0.0499451983169472
"nrTP","AR155",-0.0622023968784452,0.0665546820957523,-15.0453892070671,-7.86698581482964,0.0354704462670543,0.043721219227193,-0.0889061769712823,-0.0320141937264659,0.185076346959156,-0.0405350921910743,-0.0657642047375764,0.0109909463756695,-0.0390536227140835,0.00506960591096948
"nrTP","AR182",-0.222076894716552,0.655985688831131,4.81790188228341,10.5516003077327,0.136488707267993,-0.0799828032712564,0.0130553441852717,-0.00201921023915442,0.0797452264165223,-0.0244025795910647,0.244115541691557,0.0156489641755916,0.0749180884169662,0.097447333236483
"nrTP","AR311",-0.48675390166024,-0.625081143672381,-13.4826797871952,11.1801991046645,0.00495426903805109,-0.572819927215787,-0.0664232122531108,-0.0834252257563478,0.309661932968393,-0.0821610667330953,0.285770954603106,-0.0142236957194491,-0.0365646199865611,-0.0276505984640502
"nrTP","AR3913",-0.887909761570615,0.0325229174913101,-9.81309685436146,0.603961075056066,0.0309432968361186,0.0919051444433655,0.0390508836116101,0.0225610405853448,-0.110576395347705,-0.253190298670054,-0.579979400662492,0.0185326094123202,-0.00402364302241122,-0.0287243342962221
"nrTP","AR945",0.285169258531785,-0.114914402807942,-6.6902183281148,-0.294030418706652,-0.0452206289423415,-0.291784900990001,-0.045504767063532,-0.034435185964232,0.226943579054077,-0.00649642366426664,0.388899323154701,0.0285342317390839,-0.0498947657332188,-0.0947095585739768
"nrTP","AR95",0.481622254449245,-0.196402729525481,-4.56541519836742,6.74885968942953,0.0150194343732475,-0.258646793438101,0.0327388512019256,-0.0735446497533063,0.442754459482066,0.0145431985141806,0.185470367509994,0.013873150519899,0.0771953421246174,0.00298935143084726
"nrTP","CH92108",-1.03944418973017,0.224626230919008,-9.99685203457638,0.926924040269308,0.0603108351918209,0.0848653957678969,0.0685494757194449,-0.0526519352358141,0.173011102718509,-0.112084478151069,0.0697576359646867,0.0365254224801549,-0.00845753936946056,-0.046122912551601
"nrTP","CO08002",-0.777173788468233,-0.0926917534714124,-6.27708740622426,-11.0363903093691,-0.0598549492241569,0.0698450251481307,0.0214769389617315,-0.0490118724763273,-0.280853157880712,-0.013519608326114,-0.634035412111498,-0.0126226431067669,-0.106234765985022,-0.0197702557939285
"nrTP","CO08016",-0.288970515891962,-0.981163676845869,-11.2420649048243,0.0345557656383861,-0.00594035531581094,-0.298380407499589,-0.0379631149785378,-0.0236476146323431,0.0881099890507388,-0.125206989864035,-0.0705397646080611,-0.0118109550210337,-0.0658034472796009,-0.03479131105282
"nrTP","CO08019",-0.97364303733874,0.396511557900193,1.14740498794614,-4.46777312227273,0.0227463454822485,0.00298901064448819,0.0325096515156293,-0.0438908661176851,-0.219149200973261,0.0546038535867703,-0.73935170497948,-0.00485216882905051,-0.00454092684804318,0.0745215881082273
"nrTP","CO08020",-0.73833003423884,0.0160261738978225,-3.76114858365814,-14.39643829316,-0.0133026633264763,-0.160029317089545,-0.0236647555342207,-0.00642541582766161,-0.278691835127882,0.0461316243238973,-0.731371896698866,0.0128667026778345,-0.0696734455156926,-0.0201985394359809
"nrTP","CO08022",-0.451935864949643,-1.05547469661901,-10.6124257567187,-0.798093447038094,-0.0208432756235925,-0.264041542960135,-0.0464913608132321,-0.0117927298511825,0.129850809806187,0.0367041041594122,-0.21261597707954,-0.00479522628739017,-0.0792618266923377,0.0151537062124964
"nrTP","COB1103",0.279344664915751,-0.316159732935306,5.99878479620777,3.38273801664914,-0.0153949302201686,0.129096743180866,-0.00279544580379687,-0.0275393578078526,0.236488351937344,-0.117305729457898,0.284687969884805,0.00852183126604366,-0.0282903594883211,-0.0763312216726699
